v,psi_fine,psi_control
0.8468017578125,0.0006174377479466533,0.0006174377479466533
0.846923828125,0.0006135603259434951,0.0006135603259434954
0.8470458984375,0.0006097016112484762,0.0006097016112484762
0.84716796875,0.0006058615444249316,0.0006058615444249316
0.8472900390625,0.0006020400660990919,0.0006020400660990918
0.847412109375,0.0005982371169603629,0.0005982371169603629
0.8475341796875,0.0005944526377616066,0.0005944526377616069
0.84765625,0.0005906865693194219,0.0005906865693194219
0.8477783203125,0.0005869388525144228,0.0005869388525144228
0.847900390625,0.0005832094282915201,0.0005832094282915201
0.8480224609375,0.0005794982376602,0.0005794982376602
0.84814453125,0.0005758052216948047,0.0005758052216948047
0.8482666015625,0.0005721303215348103,0.0005721303215348103
0.848388671875,0.000568473478385107,0.000568473478385107
0.8485107421875,0.000564834633516278,0.000564834633516278
0.8486328125,0.0005612137282648776,0.0005612137282648775
0.8487548828125,0.0005576107040337102,0.0005576107040337105
0.848876953125,0.0005540255022921096,0.0005540255022921096
0.8489990234375,0.000550458064576215,0.0005504580645762151
0.84912109375,0.0005469083324892509,0.000546908332489251
0.8492431640625,0.000543376247701804,0.000543376247701804
0.849365234375,0.0005398617519521006,0.0005398617519521006
0.8494873046875,0.0005363647870462844,0.0005363647870462843
0.849609375,0.000532885294858693,0.0005328852948586931
0.8497314453125,0.0005294232173321355,0.0005294232173321355
0.849853515625,0.0005259784964781679,0.0005259784964781679
0.8499755859375,0.0005225510743773704,0.0005225510743773704
0.85009765625,0.0005191408931796231,0.0005191408931796232
0.8502197265625,0.0005157478951043823,0.0005157478951043823
0.850341796875,0.0005123720224409548,0.0005123720224409548
0.8504638671875,0.0005090132175487752,0.0005090132175487752
0.8505859375,0.0005056714228576787,0.0005056714228576788
0.8507080078125,0.0005023465808681779,0.0005023465808681779
0.850830078125,0.0004990386341517357,0.0004990386341517357
0.8509521484375,0.0004957475253510405,0.0004957475253510405
0.85107421875,0.0004924731971802797,0.0004924731971802797
0.8511962890625,0.0004892155924254134,0.0004892155924254133
0.851318359375,0.0004859746539444475,0.0004859746539444475
0.8514404296875,0.0004827503246677074,0.0004827503246677074
0.8515625,0.00047954254759810977,0.00047954254759811
0.8516845703125,0.0004763512658114358,0.0004763512658114357
0.851806640625,0.0004731764224566024,0.0004731764224566024
0.8519287109375,0.0004700179607559349,0.0004700179607559349
0.85205078125,0.00046687582400543784,0.0004668758240054379
0.8521728515625,0.0004637499555750664,0.0004637499555750664
0.852294921875,0.00046064029890899674,0.00046064029890899674
0.8524169921875,0.00045754679752589697,0.0004575467975258969
0.8525390625,0.0004544693950191966,0.00045446939501919654
0.8526611328125,0.0004514080350573568,0.0004514080350573569
0.852783203125,0.0004483626613841397,0.0004483626613841398
0.8529052734375,0.00044533321781887694,0.0004453332178188769
0.85302734375,0.00044231964825673854,0.00044231964825673854
0.8531494140625,0.0004393218966690015,0.0004393218966690015
0.853271484375,0.0004363399071033167,0.00043633990710331667
0.8533935546875,0.0004333736236839777,0.0004333736236839777
0.853515625,0.0004304229906121871,0.0004304229906121871
0.8536376953125,0.00042748795216632267,0.00042748795216632267
0.853759765625,0.0004245684527022049,0.00042456845270220494
0.8538818359375,0.0004216644366533623,0.0004216644366533623
0.85400390625,0.0004187758485312963,0.0004187758485312963
0.8541259765625,0.0004159026329257474,0.00041590263292574746
0.854248046875,0.0004130447345049591,0.00041304473450495913
0.8543701171875,0.00041020209801594234,0.00041020209801594234
0.8544921875,0.00040737466828473913,0.00040737466828473913
0.8546142578125,0.00040456239021668635,0.00040456239021668635
0.854736328125,0.00040176520879667813,0.00040176520879667813
0.8548583984375,0.0003989830690894285,0.00039898306908942846
0.85498046875,0.00039621591623973355,0.00039621591623973355
0.8551025390625,0.0003934636954727327,0.00039346369547273277
0.855224609375,0.0003907263520941702,0.0003907263520941703
0.8553466796875,0.0003880038314906555,0.0003880038314906555
0.85546875,0.0003852960791299229,0.0003852960791299229
0.8555908203125,0.0003826030405610923,0.0003826030405610924
0.855712890625,0.00037992466141492746,0.00037992466141492746
