bin,alpha_left,alpha_right,x_left,x_right,event_cells,unweighted_positive_mass,prime_square_mass,mixed_center_mass,continuous_center_mass,psi_left_simpson,psi_right_simpson,weight_lower_analytic_only,weight_upper_analytic_only,weighted_midpoint,weighted_lower_analytic_only,weighted_upper_analytic_only
948,1.7789306640625,1.778961181640625,25505.09577020961,25509.53571711348,1,9.248819933271097e-07,0.0004148162343557544,-0.0008688067250148638,0.00045491537265243643,5.0524850838638076e-05,5.106238739669455e-05,5.0337071681369935e-05,5.125016655396269e-05,4.6978103697845204e-11,4.655585119491503e-11,4.740035620077538e-11
949,1.778961181640625,1.77899169921875,25509.53571711348,25513.976436926805,1,9.318750509639846e-07,0.0004147440353960888,-0.0008688067250243143,0.00045499456467918944,5.106238739669455e-05,5.1604568193955715e-05,5.087460823942641e-05,5.1792347351223856e-05,4.7836387236677183e-11,4.7408778145888235e-11,4.8263996327466125e-11
950,1.77899169921875,1.779022216796875,25513.976436926805,25518.417929784086,3,3.3571038332837614e-06,0.0004892007200046435,-0.0009409173866577222,0.00045507377048636233,5.1604568193955715e-05,5.2151423178213916e-05,5.1416789036687574e-05,5.2339202335482057e-05,1.7415981818083376e-10,1.7261149957020634e-10,1.757081367914612e-10
951,1.779022216796875,1.779052734375,25518.417929784086,25522.860195819856,1,1.6963158737545888e-05,0.0006478526751957381,-0.0010860425065362476,0.0004551529900780554,5.2151423178213916e-05,5.270298241335282e-05,5.1963644020945775e-05,5.289076157062096e-05,8.893309631903829e-10,8.814675421086305e-10,8.971943842721352e-10
952,1.779052734375,1.779083251953125,25522.860195819856,25527.303235168794,3,1.393706133872492e-05,0.0006222826610305758,-0.0010635778231606566,0.0004552322234688056,5.270298241335282e-05,5.3259276079364034e-05,5.251520325608468e-05,5.3447055236632175e-05,7.384012481014102e-10,7.319076089956588e-10,7.448948872071616e-10
953,1.779083251953125,1.77911376953125,25527.303235168794,25531.74704796543,1,1.6903075644488897e-05,0.000647670107448072,-0.0010860785024469136,0.00045531147064333053,5.3259276079364034e-05,5.382033447236178e-05,5.307149692209589e-05,5.400811362962992e-05,9.049873785691165e-10,8.970715270404465e-10,9.129032300977863e-10
954,1.77911376953125,1.779144287109375,25531.74704796543,25536.1916343445,2,1.878632587153828e-05,0.0006570800906018211,-0.001093684496353532,0.00045539073162324936,5.382033447236178e-05,5.43861880045959e-05,5.3632555315093636e-05,5.457396716186404e-05,1.0164014963390293e-09,1.0075586614726514e-09,1.0252443312054068e-09
955,1.779144287109375,1.7791748046875,25536.1916343445,25540.636994440625,2,2.181929895815256e-05,0.000672210995007648,-0.001105861702445384,0.00045547000639588873,5.43861880045959e-05,5.495686720446298e-05,5.419840884732776e-05,5.514464636173112e-05,1.192894405302118e-09,1.1825712856960251e-09,1.2032175249082112e-09
956,1.7791748046875,1.779205322265625,25540.636994440625,25545.083128388444,2,3.596870918269358e-06,0.0005344356105758081,-0.0009863880346213964,0.0004555492949638577,5.495686720446298e-05,5.553240271651575e-05,5.476908804719484e-05,5.572018187378389e-05,1.987078208797909e-10,1.9699734001708902e-10,2.004183017424927e-10
957,1.779205322265625,1.77923583984375,25545.083128388444,25549.530036322765,2,7.867640260837479e-06,0.00057102999063391,-0.0010187909477173756,0.0004556285973443029,5.553240271651575e-05,5.611282530147078e-05,5.534462355924761e-05,5.630060445873892e-05,4.3919224544234567e-10,4.3543158853563096e-10,4.4295290234906044e-10
958,1.77923583984375,1.779266357421875,25549.530036322765,25553.97771837823,2,1.7714158345279563e-05,0.0006519956611868067,-0.0010899894163616049,0.00045570791352007785,5.611282530147078e-05,5.669816583621423e-05,5.592504614420264e-05,5.688594499348237e-05,9.99175880050441e-10,9.906651228654718e-10,1.00768663723541e-09
959,1.779266357421875,1.779296875,25553.97771837823,25558.426174689692,2,4.958846021793649e-05,0.00080369876495912,-0.0012098975482536126,0.0004557872435124291,5.669816583621423e-05,5.728845531380604e-05,5.651038667894609e-05,5.747623447107418e-05,2.826210514137389e-09,2.802263061729126e-09,2.850157966545652e-09
960,1.779296875,1.779327392578125,25558.426174689692,25562.875405391842,2,6.720027656100867e-05,0.0008689799251602906,-0.001257646235904983,0.0004558665873057013,5.728845531380604e-05,5.7883724843482214e-05,5.71006761565379e-05,5.8071504000750355e-05,3.869801179352043e-09,3.8371812295399404e-09,3.902421129164145e-09
961,1.779327392578125,1.77935791015625,25562.875405391842,25567.325410619578,1,4.389126119664672e-05,0.0007827650531658511,-0.0011948197368895996,0.00045594594492039543,5.7883724843482214e-05,5.848400565065541e-05,5.769594568621407e-05,5.867178480792355e-05,2.553763226989593e-09,2.5323478221011645e-09,2.5751786318780214e-09
962,1.77935791015625,1.779388427734375,25567.325410619578,25571.776190507684,2,4.397320623792139e-05,0.0007831433320873059,-0.0011951954421943408,0.00045602531634495645,5.848400565065541e-05,5.908932907691378e-05,5.829622649338727e-05,5.927710823418192e-05,2.5850382480277825e-09,2.5634719904862954e-09,2.6066045055692696e-09
963,1.779388427734375,1.7794189453125,25571.776190507684,25576.22774519097,1,8.390480076629079e-05,0.0009312606904223751,-0.0013034605912380778,0.0004561047015819935,5.908932907691378e-05,5.969972658001795e-05,5.890154991964564e-05,5.988750573728609e-05,4.983486024055342e-09,4.9421228108335985e-09,5.0248492372770864e-09
964,1.7794189453125,1.779449462890625,25576.22774519097,25580.6800748044,3,4.044081945153825e-05,0.0007569683218970617,-0.001172711603093431,0.00045618410064790754,5.969972658001795e-05,6.031522973389653e-05,5.951194742274981e-05,6.0503008891164673e-05,2.426751589887633e-09,2.406711920932862e-09,2.446791258842404e-09
965,1.779449462890625,1.77947998046875,25580.6800748044,25585.133179482786,3,2.4297448125277562e-05,0.000685340387642604,-0.0011173064530432513,0.00045626351352592485,6.031522973389653e-05,6.093587022863949e-05,6.012745057662839e-05,6.112364938590763e-05,1.4730461557362815e-09,1.4609436112908187e-09,1.4851487001817444e-09
966,1.77947998046875,1.779510498046875,25585.133179482786,25589.587059361143,3,2.4380616965334162e-05,0.0006858467126696713,-0.0011178090359423747,0.0004563429402380375,6.093587022863949e-05,6.156167987049011e-05,6.0748091071371346e-05,6.174945902775825e-05,1.4932829240793554e-09,1.481075939786341e-09,1.5054899083723695e-09
967,1.779510498046875,1.779541015625,25589.587059361143,25594.041714574374,2,1.863611102413361e-05,0.0006571623750323901,-0.0010949486447802013,0.00045642238077194485,6.156167987049011e-05,6.219269058183507e-05,6.137390071322197e-05,6.238046973910321e-05,1.1531500937356462e-09,1.1437708276757576e-09,1.1625293597955346e-09
968,1.779541015625,1.779571533203125,25594.041714574374,25598.4971452574,1,4.3538831624308116e-05,0.0007820020515894489,-0.0011949650550950241,0.00045650183512988354,6.219269058183507e-05,6.282893440119282e-05,6.200491142456693e-05,6.301671355846096e-05,2.7216477397667225e-09,2.6996213983943583e-09,2.743674081139086e-09
969,1.779571533203125,1.77960205078125,25598.4971452574,25602.95335154531,2,3.1624274888992124e-05,0.0007223985302962239,-0.0011473555587366042,0.0004565813033293724,6.282893440119282e-05,6.34704434832002e-05,6.264115524392467e-05,6.365822264046834e-05,1.9970631222623687e-09,1.980981112797904e-09,2.013145131726833e-09
970,1.77960205078125,1.779632568359375,25602.95335154531,25607.410333573032,2,2.418920287752779e-06,0.0005246243466029986,-0.000978866211668138,0.00045666078535289243,6.34704434832002e-05,6.411725009859733e-05,6.328266432593206e-05,6.430502925586547e-05,1.5431223023629757e-10,1.530757206010461e-10,1.55548739871549e-10
971,1.779632568359375,1.7796630859375,25607.410333573032,25611.868091475695,3,6.562424283411543e-06,0.0005606959077145549,-0.0010108737646532064,0.0004567402812220629,6.411725009859733e-05,6.47693866342109e-05,6.392947094132919e-05,6.495716579147904e-05,4.2290439735131144e-10,4.195323125310313e-10,4.262764821715916e-10
972,1.7796630859375,1.779693603515625,25611.868091475695,25616.32662538832,1,2.2503315362161856e-06,0.0005231948564858027,-0.0009777643158749153,0.00045681979092532883,6.47693866342109e-05,6.542688559293555e-05,6.458160747694276e-05,6.56146647502037e-05,1.4649238864526758e-10,1.4533002796489928e-10,1.4765474932563588e-10
